name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Hyundai Elite i20,Hyundai,Elite I20,Nagpur,2017,Petrol,65779,1,Manual,Hatchback,Hi-Panvel,False,Navi Mumbai,Maharashtra,9688,0,609999,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-nagpur-10351673775,2022-11-21
Honda Civic,Honda,Civic,Bangalore,2011,Petrol,25797,1,Manual,Sedan,Hi-South 2 Bengaluru,False,Bangalore Central,Karnataka,19407,18900,519799,https://www.cars24.com/buy-used-honda-civic-2011-cars-bangalore-10259596746,2022-09-23
Volkswagen Polo,Volkswagen,Polo,Ahmedabad,2013,Petrol,54455,2,Manual,Hatchback,Hi-West-Amd,False,Ahmedabad,Gujarat,13898,0,317999,https://www.cars24.com/buy-used-volkswagen-polo-2013-cars-ahmedabad-11439670798,2022-11-24
Hyundai i10,Hyundai,I10,Ahmedabad,2011,Petrol + Cng,52655,1,Manual,Hatchback,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,5000,295999,https://www.cars24.com/buy-used-hyundai-i10-2011-cars-ahmedabad-11429773778,2022-11-24
Mahindra XUV500,Mahindra,Xuv500,Chennai,2017,Diesel,55145,1,Manual,SUV,Hi-Chennai South,False,Chennai,Tamil Nadu,19407,210700,1282799,https://www.cars24.com/buy-used-mahindra-xuv500-2017-cars-chennai-11372890789,2022-08-23
Honda Amaze,Honda,Amaze,Hyderabad,2018,Petrol,50754,1,Manual,Sedan,Hi-Central Hyd,False,Hyderabad,Telangana,13898,5000,529199,https://www.cars24.com/buy-used-honda-amaze-2018-cars-hyderabad-10467777775,2022-11-10
Maruti Ciaz,Maruti,Ciaz,New Delhi,2015,Petrol,34621,1,Manual,Sedan,Hi-East Delhi,False,Delhi,Delhi,9688,-5400,602399,https://www.cars24.com/buy-used-maruti-ciaz-2015-cars-new-delhi-10020273798,2022-10-22
Maruti Swift,Maruti,Swift,New Delhi,2019,Petrol + Cng,62888,1,Manual,Hatchback,Hi-Multan Nagar,False,Faridabad,Haryana,13898,5000,526299,https://www.cars24.com/buy-used-maruti-swift-2019-cars-new-delhi-11093178775,2022-11-23
Toyota Innova Crysta,Toyota,Innova Crysta,Gurgaon,2018,Diesel,40607,2,Automatic,SUV,Hi-Gurgaon New,False,Gurgaon,Haryana,9688,45600,2092799,https://www.cars24.com/buy-used-toyota-innova-crysta-2018-cars-gurgaon-10186278716,2022-11-24
Mahindra Scorpio,Mahindra,Scorpio,Ahmedabad,2021,Diesel,13743,1,Manual,SUV,Hi-Vastral Ring Road,False,Gandhinagar,Gujarat,9688,0,1972499,https://www.cars24.com/buy-used-mahindra-scorpio-2021-cars-ahmedabad-11405976750,2022-11-24
Maruti Dzire,Maruti,Dzire,Hyderabad,2017,Diesel,69564,1,Automatic,Sedan,Hyderabad-Pns,False,Hyderabad,Telangana,13898,-2600,736599,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-hyderabad-10450197706,2022-10-15
Renault Kwid,Renault,Kwid,Mumbai,2019,Petrol + Cng,23458,2,Automatic,Hatchback,Hi-Thane West - Manpada,False,Bhiwandi,Maharashtra,12542,0,380899,https://www.cars24.com/buy-used-renault-kwid-2019-cars-mumbai-10343271778,2022-11-24
Honda Amaze,Honda,Amaze,Pune,2015,Petrol,79837,1,Manual,Sedan,Pune-Pns,False,Pune,Maharashtra,13898,0,452399,https://www.cars24.com/buy-used-honda-amaze-2015-cars-pune-10662779772,2022-11-24
Volkswagen Ameo,Volkswagen,Ameo,Noida,2017,Diesel,38762,1,Automatic,Sedan,Hi-Uttam Nagar Delhi,False,New Delhi,Delhi,12188,52100,576699,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-noida-10082399774,2022-07-08
Tata Tiago,Tata,Tiago,New Delhi,2018,Diesel,49012,1,Manual,Hatchback,Hi-Multan Nagar,False,Ghaziabad,Uttar Pradesh,9688,-15100,430699,https://www.cars24.com/buy-used-tata-tiago-2018-cars-new-delhi-11260779795,2022-11-21
Maruti Ertiga,Maruti,Ertiga,Chennai,2019,Petrol,42625,1,Manual,SUV,Chennai-Pns,False,Chennai,Tamil Nadu,12188,0,936399,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-chennai-11381276772,2022-11-02
Hyundai Creta,Hyundai,Creta,Gurgaon,2019,Diesel,71968,1,Manual,SUV,Hi-Gurgaon,False,Gurgaon,Haryana,13898,61200,896699,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-gurgaon-1013041066,2022-03-03
Maruti Baleno,Maruti,Baleno,Gurgaon,2019,Petrol,56584,2,,,Hi-Gurgaon New,False,Charkhi Dadri,Haryana,9688,-14100,653299,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-gurgaon-10174774770,2022-11-24
Honda Amaze,Honda,Amaze,Chennai,2014,Petrol,50654,1,Manual,Sedan,Hi-Chennai,False,Chennai,Tamil Nadu,13898,0,416299,https://www.cars24.com/buy-used-honda-amaze-2014-cars-chennai-11378476777,2022-11-24
Hyundai i10,Hyundai,I10,Ahmedabad,2013,Petrol,31187,2,Manual,Hatchback,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,5000,321699,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-ahmedabad-11473279772,2022-11-22
Maruti Celerio,Maruti,Celerio,New Delhi,2017,Petrol,26125,1,Manual,Hatchback,New Delhi-Pns,False,Gurgaon,Haryana,12542,36500,395599,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-new-delhi-10062999789,2022-08-06
Mahindra XUV500,Mahindra,Xuv500,Pune,2016,Diesel,77571,2,Manual,SUV,Hi-Pune,False,Pune,Maharashtra,9688,53300,859199,https://www.cars24.com/buy-used-mahindra-xuv500-2016-cars-pune-10698090701,2022-09-29
